StartTime,EndTime,AvgRate,total
2018/01/07 18:00:00,2018/01/07 20:00:00,531.37Mbps,478231883268
2018/01/07 20:00:00,2018/01/07 22:00:00,515.35Mbps,463810718590
2018/01/07 22:00:00,2018/01/08 00:00:00,592.98Mbps,533682787070
2018/01/08 00:00:00,2018/01/08 02:00:00,446.06Mbps,401451988710
2018/01/08 02:00:00,2018/01/08 04:00:00,331.71Mbps,298539280789
2018/01/08 04:00:00,2018/01/08 06:00:00,238.78Mbps,214904161852
2018/01/08 06:00:00,2018/01/08 08:00:00,202.98Mbps,182685148934
2018/01/08 08:00:00,2018/01/08 10:00:00,233.45Mbps,210109257183
2018/01/08 10:00:00,2018/01/08 12:00:00,367.50Mbps,330750860533
2018/01/08 12:00:00,2018/01/08 14:00:00,451.55Mbps,406392112742
2018/01/08 14:00:00,2018/01/08 16:00:00,503.01Mbps,452711417467
2018/01/08 16:00:00,2018/01/08 18:00:00,571.55Mbps,514398544243
2018/01/08 18:00:00,2018/01/08 20:00:00,476.96Mbps,429260646530
2018/01/08 20:00:00,2018/01/08 22:00:00,494.15Mbps,444730763856
2018/01/08 22:00:00,2018/01/09 00:00:00,506.82Mbps,456137962387
2018/01/09 00:00:00,2018/01/09 02:00:00,419.62Mbps,377653781916
2018/01/09 02:00:00,2018/01/09 04:00:00,339.95Mbps,305957011643
2018/01/09 04:00:00,2018/01/09 06:00:00,283.62Mbps,255254721627
2018/01/09 06:00:00,2018/01/09 08:00:00,257.65Mbps,231883369178
2018/01/09 08:00:00,2018/01/09 10:00:00,378.00Mbps,340199575566
2018/01/09 10:00:00,2018/01/09 12:00:00,570.98Mbps,513882044561
2018/01/09 12:00:00,2018/01/09 14:00:00,635.25Mbps,571727002029
2018/01/09 14:00:00,2018/01/09 16:00:00,622.46Mbps,560213578096
2018/01/09 16:00:00,2018/01/09 18:00:00,583.38Mbps,525039801548
2018/01/09 18:00:00,2018/01/09 20:00:00,509.15Mbps,458232426045
2018/01/09 20:00:00,2018/01/09 22:00:00,533.57Mbps,480216501223
2018/01/09 22:00:00,2018/01/10 00:00:00,503.61Mbps,453250186614
